Sr. No.,Ticker,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
789,RUPA.NS,RUPA,Rupa & Company Limited,162429
790,NACLIND.NS,NACLIND,NACL Industries Limited,162117
791,VSSL.NS,VSSL,Vardhman Special Steels Limited,161372
792,VISHNU.NS,VISHNU,Vishnu Chemicals Limited,161331
793,DWARKESH.NS,DWARKESH,Dwarikesh Sugar Industries Limited,160715
794,DHANI.NS,DHANI,Dhani Services Limited,160158
795,BANCOINDIA.NS,BANCOINDIA,Banco Products (I) Limited,160094
796,KINGFA.NS,KINGFA,Kingfa Science & Technology (India) Limited,159622
797,SUBEXLTD.NS,SUBEXLTD,Subex Limited,159609
798,HINDOILEXP.NS,HINDOILEXP,Hindustan Oil Exploration Company Limited,159018
799,RTNPOWER.NS,RTNPOWER,RattanIndia Power Limited,158418
800,VADILALIND.NS,VADILALIND,Vadilal Industries Limited,157856
801,BBOX.NS,BBOX,Black Box Limited,156739
802,ORCHPHARMA.NS,ORCHPHARMA,Orchid Pharma Limited,156429
803,PURVA.NS,PURVA,Puravankara Limited,154977
804,COSMOFIRST.NS,COSMOFIRST,COSMO FIRST LIMITED,154165
805,IMFA.NS,IMFA,Indian Metals & Ferro Alloys Limited,153742
806,SUPRIYA.NS,SUPRIYA,Supriya Lifescience Limited,153521
807,SAKSOFT.NS,SAKSOFT,Saksoft Limited,152986
808,IIFLSEC.NS,IIFLSEC,IIFL Securities Limited,152843
809,SANGHVIMOV.NS,SANGHVIMOV,Sanghvi Movers Limited,152439
810,GOKULAGRO.NS,GOKULAGRO,Gokul Agro Resources Limited,151675
811,ALEMBICLTD.NS,ALEMBICLTD,Alembic Limited,151630
812,VENUSPIPES.NS,VENUSPIPES,Venus Pipes & Tubes Limited,151409
813,SEAMECLTD.NS,SEAMECLTD,Seamec Limited,151291
814,TNPL.NS,TNPL,Tamil Nadu Newsprint & Papers Limited,151087
815,KPIGREEN.NS,KPIGREEN,KPI Green Energy Limited,150896
816,BFINVEST.NS,BFINVEST,BF Investment Limited,150237
817,SESHAPAPER.NS,SESHAPAPER,Seshasayee Paper and Boards Limited,148652
818,DHAMPURSUG.NS,DHAMPURSUG,Dhampur Sugar Mills Limited,148409
819,ANDHRSUGAR.NS,ANDHRSUGAR,The Andhra Sugars Limited,147056
820,KIRIINDUS.NS,KIRIINDUS,Kiri Industries Limited,146717
821,TTKHLTCARE.NS,TTKHLTCARE,TTK Healthcare Limited,146673
822,CARYSIL.NS,CARYSIL,CARYSIL LIMITED,146041
823,GOCLCORP.NS,GOCLCORP,GOCL Corporation Limited,146041
824,JSWISPL.NS,JSWISPL,JSW Ispat Special Products Limited,146029
825,STERTOOLS.NS,STERTOOLS,Sterling Tools Limited,145015
826,SHALBY.NS,SHALBY,Shalby Limited,144949
827,TIDEWATER.NS,TIDEWATER,Tide Water Oil Company (India) Limited,144602
828,KRSNAA.NS,KRSNAA,Krsnaa Diagnostics Limited,144492
829,KRISHANA.NS,KRISHANA,Krishana Phoschem Limited,144119
830,HUHTAMAKI.NS,HUHTAMAKI,Huhtamaki India Limited,143114
831,BBL.NS,BBL,Bharat Bijlee Limited,143106
832,SEPC.NS,SEPC,SEPC Limited,142625
833,ORISSAMINE.NS,ORISSAMINE,The Orissa Minerals Development Company Limited,142155
834,FILATEX.NS,FILATEX,Filatex India Limited,141985
835,THEJO.NS,THEJO,Thejo Engineering Limited,141954
836,APTECHT.NS,APTECHT,Aptech Limited,141273
837,ORIENTHOT.NS,ORIENTHOT,Oriental Hotels Limited,140736
838,DCXINDIA.NS,DCXINDIA,DCX Systems Limited,140685
839,FOSECOIND.NS,FOSECOIND,Foseco India Limited,140445
840,GOLDIAM.NS,GOLDIAM,Goldiam International Limited,140032
841,SHANKARA.NS,SHANKARA,Shankara Building Products Limited,139975
842,INSECTICID.NS,INSECTICID,Insecticides (India) Limited,138207
843,THANGAMAYL.NS,THANGAMAYL,Thangamayil Jewellery Limited,137896
844,SHK.NS,SHK,S H Kelkar and Company Limited,137729
845,TEXRAIL.NS,TEXRAIL,Texmaco Rail & Engineering Limited,136634
846,CANTABIL.NS,CANTABIL,Cantabil Retail India Limited,135674
847,GALLANTT.NS,GALLANTT,Gallantt Ispat Limited,134273
848,HERITGFOOD.NS,HERITGFOOD,Heritage Foods Limited,133765
849,KCP.NS,KCP,KCP Limited,133433
850,MOREPENLAB.NS,MOREPENLAB,Morepen Laboratories Limited,131882
851,GATI.NS,GATI,GATI Limited,130781
852,RAMASTEEL.NS,RAMASTEEL,Rama Steel Tubes Limited,129732
853,HESTERBIO.NS,HESTERBIO,Hester Biosciences Limited,129543
854,NRBBEARING.NS,NRBBEARING,NRB Bearing Limited,129489
855,INDOSTAR.NS,INDOSTAR,IndoStar Capital Finance Limited,129033
856,MONTECARLO.NS,MONTECARLO,Monte Carlo Fashions Limited,128902
857,KSL.NS,KSL,Kalyani Steels Limited,128689
858,KDDL.NS,KDDL,KDDL Limited,128568
859,TCPLPACK.NS,TCPLPACK,TCPL Packaging Limited,128201
860,MARATHON.NS,MARATHON,Marathon Nextgen Realty Limited,128017
861,ARVSMART.NS,ARVSMART,Arvind SmartSpaces Limited,128006
862,DCW.NS,DCW,DCW Limited,127950
863,DEN.NS,DEN,Den Networks Limited,127896
864,STEELXIND.NS,STEELXIND,STEEL EXCHANGE INDIA LIMITED,127415
865,EIHAHOTELS.NS,EIHAHOTELS,EIH Associated Hotels Limited,127144
866,IGPL.NS,IGPL,IG Petrochemicals Limited,127075
867,NITINSPIN.NS,NITINSPIN,Nitin Spinners Limited,126636
868,EXPLEOSOL.NS,EXPLEOSOL,Expleo Solutions Limited,125988
869,VERANDA.NS,VERANDA,Veranda Learning Solutions Limited,125853
870,SALASAR.NS,SALASAR,Salasar Techno Engineering Limited,125809
871,STYRENIX.NS,STYRENIX,Styrenix Performance Materials Limited,125790
872,ADORWELD.NS,ADORWELD,Ador Welding Limited,125187
873,BHAGCHEM.NS,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,124658
874,PCJEWELLER.NS,PCJEWELLER,PC Jeweller Limited,124496
875,GENESYS.NS,GENESYS,Genesys International Corporation Limited,124046
876,STOVEKRAFT.NS,STOVEKRAFT,Stove Kraft Limited,123844
877,RANEHOLDIN.NS,RANEHOLDIN,Rane Holdings Limited,123639
878,NDTV.NS,NDTV,New Delhi Television Limited,123591
879,XPROINDIA.NS,XPROINDIA,Xpro India Limited,122624
880,MANORAMA.NS,MANORAMA,Manorama Industries Limited,122440
881,GRWRHITECH.NS,GRWRHITECH,Garware Hi-Tech Films Limited,122260
882,HARIOMPIPE.NS,HARIOMPIPE,Hariom Pipe Industries Limited,121942
883,SANDHAR.NS,SANDHAR,Sandhar Technologies Limited,121495
884,AVTNPL.NS,AVTNPL,AVT Natural Products Limited,120913
885,IWEL.NS,IWEL,Inox Wind Energy Limited,120742
886,SJS.NS,SJS,S.J.S. Enterprises Limited,120549
887,EVERESTIND.NS,EVERESTIND,Everest Industries Limited,118938
888,FAIRCHEMOR.NS,FAIRCHEMOR,Fairchem Organics Limited,118900
889,SASKEN.NS,SASKEN,Sasken Technologies Limited,118390
890,OAL.NS,OAL,Oriental Aromatics Limited,118242
891,NELCO.NS,NELCO,NELCO Limited,118074
892,RIIL.NS,RIIL,Reliance Industrial Infrastructure Limited,118059
893,SOLARA.NS,SOLARA,Solara Active Pharma Sciences Limited,117870
894,TAJGVK.NS,TAJGVK,Taj GVK Hotels & Resorts Limited,117722
895,BOMDYEING.NS,BOMDYEING,Bombay Dyeing & Mfg Company Limited,117209
896,MANGCHEFER.NS,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026
897,GOODLUCK.NS,GOODLUCK,Goodluck India Limited,115907
898,RPGLIFE.NS,RPGLIFE,RPG Life Sciences Limited,115848
899,PATELENG.NS,PATELENG,Patel Engineering Limited,115656
900,SPIC.NS,SPIC,Southern Petrochemicals Industries Corporation  Limited,114955
901,INOXGREEN.NS,INOXGREEN,Inox Green Energy Services Limited,114878
902,GIPCL.NS,GIPCL,Gujarat Industries Power Company Limited,114800
903,UNIVCABLES.NS,UNIVCABLES,Universal Cables Limited,114716
904,NSIL.NS,NSIL,Nalwa Sons Investments Limited,114506
905,HMT.NS,HMT,HMT Limited,113765
906,MATRIMONY.NS,MATRIMONY,Matrimony.Com Limited,113725
907,MTNL.NS,MTNL,Mahanagar Telephone Nigam Limited,113715
908,SDBL.NS,SDBL,Som Distilleries & Breweries Limited,113524
909,VALIANTORG.NS,VALIANTORG,Valiant Organics Limited,113189
910,ARMANFIN.NS,ARMANFIN,Arman Financial Services Limited,112901
911,REPCOHOME.NS,REPCOHOME,Repco Home Finance Limited,112454
912,HERANBA.NS,HERANBA,Heranba Industries Limited,111998
913,BFUTILITIE.NS,BFUTILITIE,BF Utilities Limited,111929
914,PRECWIRE.NS,PRECWIRE,Precision Wires India Limited,111098
915,AXITA.NS,AXITA,Axita Cotton Limited,110958
916,GRMOVER.NS,GRMOVER,GRM Overseas Limited,110070
917,GTPL.NS,GTPL,GTPL Hathway Limited,109820
918,IGARASHI.NS,IGARASHI,Igarashi Motors India Limited,109565
919,INFOBEAN.NS,INFOBEAN,InfoBeans Technologies Limited,109116
920,ALICON.NS,ALICON,Alicon Castalloy Limited,109045
921,THEMISMED.NS,THEMISMED,Themis Medicare Limited,108579
922,TVTODAY.NS,TVTODAY,TV Today Network Limited,108000
923,WHEELS.NS,WHEELS,Wheels India Limited,107966
924,RPSGVENT.NS,RPSGVENT,RPSG VENTURES LIMITED,107687
925,RAMCOIND.NS,RAMCOIND,Ramco Industries Limited,107687
926,SMLISUZU.NS,SMLISUZU,SML Isuzu Limited,107452
927,AHL.NS,AHL,Abans Holdings Limited,107037
928,UNIENTER.NS,UNIENTER,Uniphos Enterprises Limited,106197
929,SATIN.NS,SATIN,Satin Creditcare Network Limited,105986
930,KUANTUM.NS,KUANTUM,Kuantum Papers Limited,105894
931,GANESHBE.NS,GANESHBE,Ganesh Benzoplast Limited,105859
932,SUVEN.NS,SUVEN,Suven Life Sciences Limited,105766
933,SATIA.NS,SATIA,Satia Industries Limited,105500
934,GULPOLY.NS,GULPOLY,Gulshan Polyols Limited,105146
935,UGARSUGAR.NS,UGARSUGAR,The Ugar Sugar Works Limited,104288
936,MANALIPETC.NS,MANALIPETC,Manali Petrochemicals Limited,103716
937,PIXTRANS.NS,PIXTRANS,Pix Transmissions Limited,103626
938,SHRIRAMPPS.NS,SHRIRAMPPS,Shriram Properties Limited,103423
939,RADIANTCMS.NS,RADIANTCMS,Radiant Cash Management Services Limited,103080
940,PNBGILTS.NS,PNBGILTS,PNB Gilts Limited,102966
941,INDORAMA.NS,INDORAMA,Indo Rama Synthetics (India) Limited,102617
942,ASHAPURMIN.NS,ASHAPURMIN,Ashapura Minechem Limited,102556
943,UGROCAP.NS,UGROCAP,Ugro Capital Limited,102346
944,AXISCADES.NS,AXISCADES,AXISCADES Technologies Limited,102183
945,HITECH.NS,HITECH,Hi-Tech Pipes Limited,102057
946,PUNJABCHEM.NS,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,101506
947,SURYODAY.NS,SURYODAY,Suryoday Small Finance Bank Limited,101116
948,EKC.NS,EKC,Everest Kanto Cylinder Limited,101099
949,JASH.NS,JASH,Jash Engineering Limited,100998
950,DPSCLTD.NS,DPSCLTD,DPSC Limited,100787
951,TARC.NS,TARC,TARC Limited,100628
952,BHARATWIRE.NS,BHARATWIRE,Bharat Wire Ropes Limited,99994
953,EXCELINDUS.NS,EXCELINDUS,Excel Industries Limited,99943
954,SPECIALITY.NS,SPECIALITY,Speciality Restaurants Limited,99762
955,ANUP.NS,ANUP,The Anup Engineering Limited,99130
956,SKIPPER.NS,SKIPPER,Skipper Limited,98769
957,AJMERA.NS,AJMERA,Ajmera Realty & Infra India Limited,98258
958,SHALPAINTS.NS,SHALPAINTS,Shalimar Paints Limited,98251
959,GMBREW.NS,GMBREW,GM Breweries Limited,97703
960,SANGAMIND.NS,SANGAMIND,Sangam (India) Limited,96873
961,SHIVALIK.NS,SHIVALIK,Shivalik Rasayan Limited,96795
962,GMRP&UI.NS,GMRP&UI,GMR Power and Urban Infra Limited,96273
963,PENIND.NS,PENIND,Pennar Industries Limited,95474
964,GEOJITFSL.NS,GEOJITFSL,Geojit Financial Services Limited,95398
965,BCLIND.NS,BCLIND,Bcl Industries Limited,95079
966,DBOL.NS,DBOL,Dhampur Bio Organics Limited,95034
967,SHAILY.NS,SHAILY,Shaily Engineering Plastics Limited,94340
968,LIKHITHA.NS,LIKHITHA,Likhitha Infrastructure Limited,92905
969,MADRASFERT.NS,MADRASFERT,Madras Fertilizers Limited,92553
970,STEELCAS.NS,STEELCAS,Steelcast Limited,92375
971,MKPL.NS,MKPL,M K Proteins Limited,91341
972,ROSSELLIND.NS,ROSSELLIND,Rossell India Limited,91320
973,KITEX.NS,KITEX,Kitex Garments Limited,91205
974,PRAKASH.NS,PRAKASH,Prakash Industries Limited,91153
975,ARTEMISMED.NS,ARTEMISMED,Artemis Medicare Services Limited,91067
976,RICOAUTO.NS,RICOAUTO,Rico Auto Industries Limited,90979
977,OMAXE.NS,OMAXE,Omaxe Limited,90902
978,CENTUM.NS,CENTUM,Centum Electronics Limited,90870
979,ROTO.NS,ROTO,Roto Pumps Limited,90799
980,PRECAM.NS,PRECAM,Precision Camshafts Limited,90427
981,BIGBLOC.NS,BIGBLOC,Bigbloc Construction Limited,90396
982,SHREDIGCEM.NS,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,89445
983,CLSEL.NS,CLSEL,Chaman Lal Setia Exports Limited,88827
984,GTLINFRA.NS,GTLINFRA,GTL Infrastructure Limited,88698
985,PGIL.NS,PGIL,Pearl Global Industries Limited,88649
986,UTTAMSUGAR.NS,UTTAMSUGAR,Uttam Sugar Mills Limited,88213
987,AVADHSUGAR.NS,AVADHSUGAR,Avadh Sugar & Energy Limited,87310
988,PITTIENG.NS,PITTIENG,Pitti Engineering Limited,86840
989,5PAISA.NS,5PAISA,5Paisa Capital Limited,86699
990,NAHARSPING.NS,NAHARSPING,Nahar Spinning Mills Limited,86665
991,SPCENET.NS,SPCENET,Spacenet Enterprises India Limited,86188
992,SPORTKING.NS,SPORTKING,Sportking India Limited,85928
993,DEEPINDS.NS,DEEPINDS,Deep Industries Limited,85920
994,PARAGMILK.NS,PARAGMILK,Parag Milk Foods Limited,85391
995,AGARIND.NS,AGARIND,Agarwal Industrial Corporation Limited,85192
996,CONTROLPR.NS,CONTROLPR,Control Print Limited,85072
997,BAJAJHCARE.NS,BAJAJHCARE,Bajaj Healthcare Limited,84686
998,KAMDHENU.NS,KAMDHENU,Kamdhenu Limited,84349
999,CHEMCON.NS,CHEMCON,Chemcon Speciality Chemicals Limited,83811
1000,GICHSGFIN.NS,GICHSGFIN,GIC Housing Finance Limited,83388
1001,MEDICAMEQ.NS,MEDICAMEQ,Medicamen Biotech Limited,83358
1002,DLINKINDIA.NS,DLINKINDIA,D-Link (India) Limited,82815
1003,ARIHANTSUP.NS,ARIHANTSUP,Arihant Superstructures Limited,81538
1004,VHL.NS,VHL,Vardhman Holdings Limited,81521
1005,PFS.NS,PFS,PTC India Financial Services Limited,81249
1006,HEXATRADEX.NS,HEXATRADEX,Hexa Tradex Limited,81127
1007,RILINFRA.NS,RILINFRA,Rachana Infrastructure Limited,80820
1008,CAPACITE.NS,CAPACITE,Capacit'e Infraprojects Limited,80757
1009,SPAL.NS,SPAL,S. P. Apparels Limited,80748
1010,NCLIND.NS,NCLIND,NCL Industries Limited,80673
1011,63MOONS.NS,63MOONS,63 moons technologies limited,80522
1012,NAVKARCORP.NS,NAVKARCORP,Navkar Corporation Limited,79625
1013,ORIENTPPR.NS,ORIENTPPR,Orient Paper & Industries Limited,79357
1014,DREDGECORP.NS,DREDGECORP,Dredging Corporation of India Limited,79240
1015,AMBIKCO.NS,AMBIKCO,Ambika Cotton Mills Limited,78965
1016,CENTRUM.NS,CENTRUM,Centrum Capital Limited,78630
1017,LINC.NS,LINC,Linc Limited,78593
1018,RGL.NS,RGL,Renaissance Global Limited,78255
1019,SCHAND.NS,SCHAND,S Chand And Company Limited,78188
1020,NELCAST.NS,NELCAST,Nelcast Limited,77257
1021,FAZE3Q.NS,FAZE3Q,Faze Three Limited,76933
1022,KICL.NS,KICL,Kalyani Investment Company Limited,76471
1023,DVL.NS,DVL,Dhunseri Ventures Limited,76371
1024,JAGSNPHARM.NS,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,75922
1025,POKARNA.NS,POKARNA,Pokarna Limited,75820
1026,IFGLEXPOR.NS,IFGLEXPOR,IFGL Refractories Limited,75484
1027,TRIL.NS,TRIL,Transformers And Rectifiers (India) Limited,75429
1028,CENTENKA.NS,CENTENKA,Century Enka Limited,75210
1029,SMCGLOBAL.NS,SMCGLOBAL,SMC Global Securities Limited,74913
1030,ROHLTD.NS,ROHLTD,Royal Orchid Hotels Limited,74761
1031,INDNIPPON.NS,INDNIPPON,India Nippon Electricals Limited,74741
1032,SHAKTIPUMP.NS,SHAKTIPUMP,Shakti Pumps (India) Limited,74329
1033,NGLFINE.NS,NGLFINE,NGL Fine-Chem Limited,74241
1034,IMPAL.NS,IMPAL,India Motor Parts and Accessories Limited,74156
1035,BLISSGVS.NS,BLISSGVS,Bliss GVS Pharma Limited,74105
1036,ALLSEC.NS,ALLSEC,Allsec Technologies Limited,74066
1037,ORIENTBELL.NS,ORIENTBELL,Orient Bell Limited,73160
1038,MANGLMCEM.NS,MANGLMCEM,Mangalam Cement Limited,72978
1039,SANDESH.NS,SANDESH,The Sandesh Limited,72765
1040,BODALCHEM.NS,BODALCHEM,Bodal Chemicals Limited,72485
1041,ESTER.NS,ESTER,Ester Industries Limited,72469
1042,ZOTA.NS,ZOTA,Zota Health Care LImited,70889
1043,RSWM.NS,RSWM,RSWM Limited,70794
1044,INDRAMEDCO.NS,INDRAMEDCO,Indraprastha Medical Corporation Limited,70634
1045,QUICKHEAL.NS,QUICKHEAL,Quick Heal Technologies Limited,70562
1046,SRHHYPOLTD.NS,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,70376
1047,AURIONPRO.NS,AURIONPRO,Aurionpro Solutions Limited,70236
1048,GSLSU.NS,GSLSU,Global Surfaces Limited,70205
1049,SASTASUNDR.NS,SASTASUNDR,Sastasundar Ventures Limited,70158
1050,MANAKSIA.NS,MANAKSIA,Manaksia Limited,70056
1051,AWHCL.NS,AWHCL,Antony Waste Handling Cell Limited,70053
1052,BLKASHYAP.NS,BLKASHYAP,B. L. Kashyap and Sons Limited,69886
1053,RAMRAT.NS,RAMRAT,Ram Ratna Wires Limited,69564
1054,JINDRILL.NS,JINDRILL,Jindal Drilling And Industries Limited,69526
1055,VIMTALABS.NS,VIMTALABS,Vimta Labs Limited,69452
1056,CLOUD.NS,CLOUD,Varanium Cloud Limited,69053
1057,DPABHUSHAN.NS,DPABHUSHAN,D. P. Abhushan Limited,68957
1058,MOLDTECH.NS,MOLDTECH,Mold-Tek Technologies Limited,68940
1059,ATULAUTO.NS,ATULAUTO,Atul Auto Limited,68770
1060,KOKUYOCMLN.NS,KOKUYOCMLN,Kokuyo Camlin Limited,68658
1061,SIGACHI.NS,SIGACHI,Sigachi Industries Limited,68633
1062,HIMATSEIDE.NS,HIMATSEIDE,Himatsingka Seide Limited,68034
1063,LINCOLN.NS,LINCOLN,Lincoln Pharmaceuticals Limited,67951
1064,GREENPOWER.NS,GREENPOWER,Orient Green Power Company Limited,67941
1065,EMAMIPAP.NS,EMAMIPAP,Emami Paper Mills Limited,67759
1066,SATINDLTD.NS,SATINDLTD,Sat Industries Limited,67455
1067,RAMCOSYS.NS,RAMCOSYS,Ramco Systems Limited,67303
1068,HPAL.NS,HPAL,HP Adhesives Limited,67013
1069,OCCL.NS,OCCL,Oriental Carbon & Chemicals Limited,66954
1070,FOCUS.NS,FOCUS,Focus Lighting and Fixtures Limited,66947
1071,GEPIL.NS,GEPIL,GE Power India Limited,66690
1072,SUTLEJTEX.NS,SUTLEJTEX,Sutlej Textiles and Industries Limited,66433
1073,PANACEABIO.NS,PANACEABIO,Panacea Biotec Limited,66426
1074,JAIBALAJI.NS,JAIBALAJI,Jai Balaji Industries Limited,66253
1075,RML.NS,RML,Rane (Madras) Limited,66118
1076,JETAIRWAYS.NS,JETAIRWAYS,Jet Airways (India) Limited,65432
1077,TRACXN.NS,TRACXN,Tracxn Technologies Limited,65302
1078,KHAICHEM.NS,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,65031
1079,TNPETRO.NS,TNPETRO,Tamilnadu PetroProducts Limited,64330
1080,ONWARDTEC.NS,ONWARDTEC,Onward Technologies Limited,64317
1081,TFCILTD.NS,TFCILTD,Tourism Finance Corporation of India Limited,64119
1082,ONMOBILE.NS,ONMOBILE,OnMobile Global Limited,63973
1083,INNOVANA.NS,INNOVANA,Innovana Thinklabs Limited,63755
1084,GANDHITUBE.NS,GANDHITUBE,Gandhi Special Tubes Limited,63217
1085,TEXINFRA.NS,TEXINFRA,Texmaco Infrastructure & Holdings Limited,62821
1086,MEDICO.NS,MEDICO,Medico Remedies Limited,62279
1087,TVSELECT.NS,TVSELECT,TVS Electronics Limited,61900
1088,HEUBACHIND.NS,HEUBACHIND,Heubach Colorants India Limited,61398
1089,VINYLINDIA.NS,VINYLINDIA,Vinyl Chemicals (India) Limited,61145
1090,PARACABLES.NS,PARACABLES,Paramount Communications Limited,60391
1091,FOODSIN.NS,FOODSIN,Foods & Inns Limited,60362
1092,HLVLTD.NS,HLVLTD,HLV LIMITED,60322
1093,COFFEEDAY.NS,COFFEEDAY,Coffee Day Enterprises Limited,60312
1094,BETA.NS,BETA,Beta Drugs Limited,60274
1095,APEX.NS,APEX,Apex Frozen Foods Limited,60219
1096,YUKEN.NS,YUKEN,Yuken India Limited,60210
1097,ELIN.NS,ELIN,Elin Electronics Limited,59864
1098,MONARCH.NS,MONARCH,Monarch Networth Capital Limited,59786
1099,DMCC.NS,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,59581
1100,CHEVIOT.NS,CHEVIOT,Cheviot Company Limited,59375
1101,XCHANGING.NS,XCHANGING,Xchanging Solutions Limited,59267
1102,VISAKAIND.NS,VISAKAIND,Visaka Industries Limited,59084
1103,SUMMITSEC.NS,SUMMITSEC,Summit Securities Limited,59039
1104,SUKHJITS.NS,SUKHJITS,Sukhjit Starch & Chemicals Limited,58817
1105,INDIANHUME.NS,INDIANHUME,Indian Hume Pipe Company Limited,58791
1106,JUBLINDS.NS,JUBLINDS,Jubilant Industries Limited,58468
1107,ASALCBR.NS,ASALCBR,Associated Alcohols & Breweries Ltd.,58342
1108,DECCANCE.NS,DECCANCE,Deccan Cements Limited,58257
1109,JAYBARMARU.NS,JAYBARMARU,Jay Bharat Maruti Limited,57567
1110,COOLCAPS.NS,COOLCAPS,Cool Caps Industries Limited,57523
1111,APOLLO.NS,APOLLO,Apollo Micro Systems Limited,57495
1112,ELDEHSG.NS,ELDEHSG,Eldeco Housing And Industries Limited,57420
1113,HERCULES.NS,HERCULES,Hercules Hoists Limited,57088
1114,4THDIM.NS,4THDIM,Fourth Dimension Solutions Limited,56920
1115,KRITI.NS,KRITI,Kriti Industries (India) Limited,56424
1116,AGSTRA.NS,AGSTRA,AGS Transact Technologies Limited,56331
1117,NAHARPOLY.NS,NAHARPOLY,Nahar Poly Films Limited,56208
1118,MANINDS.NS,MANINDS,Man Industries (India) Limited,55956
1119,ENIL.NS,ENIL,Entertainment Network (India) Limited,55679
1120,SYNCOMF.NS,SYNCOMF,Syncom Formulations (India) Limited,55460
1121,KAMOPAINTS.NS,KAMOPAINTS,Kamdhenu Ventures Limited,55218
1122,NAGAFERT.NS,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,55022
1123,SCPL.NS,SCPL,Sheetal Cool Products Limited,54994
1124,HPL.NS,HPL,HPL Electric & Power Limited,54495
1125,INDOAMIN.NS,INDOAMIN,Indo Amines Limited,54402
1126,DCMSRIND.NS,DCMSRIND,DCM Shriram Industries Limited,54109
1127,MENONBE.NS,MENONBE,Menon Bearings Limited,54051
1128,VASCONEQ.NS,VASCONEQ,Vascon Engineers Limited,54003
1129,VLSFINANCE.NS,VLSFINANCE,VLS Finance Limited,53915
1130,BALAXI.NS,BALAXI,BALAXI PHARMACEUTICALS LIMITED,53870
1131,ZEEMEDIA.NS,ZEEMEDIA,Zee Media Corporation Limited,53787
1132,CREATIVE.NS,CREATIVE,Creative Newtech Limited,53676
1133,KRISHIVAL.NS,KRISHIVAL,Empyrean Cashews Limited,53615
1134,SNOWMAN.NS,SNOWMAN,Snowman Logistics Limited,53468
1135,KOPRAN.NS,KOPRAN,Kopran Limited,53275
1136,SHREYAS.NS,SHREYAS,Shreyas Shipping & Logistics Limited,52555
1137,REFEX.NS,REFEX,Refex Industries Limited,52548
1138,KSOLVES.NS,KSOLVES,Ksolves India Limited,52433
1139,GFLLIMITED.NS,GFLLIMITED,GFL Limited,52289
1140,SPECTRUM.NS,SPECTRUM,Spectrum Electrical Industries Limited,52163
1141,RUSHIL.NS,RUSHIL,Rushil Decor Limited,52115
1142,IRISDOREME.NS,IRISDOREME,Iris Clothings Limited,51765
1143,BINDALAGRO.NS,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,51362
1144,SELMC.NS,SELMC,SEL Manufacturing Company Limited,51276
1145,BHAGERIA.NS,BHAGERIA,Bhageria Industries Limited,51064
1146,ZUARI.NS,ZUARI,Zuari Agro Chemicals Limited,50974
1147,TALBROAUTO.NS,TALBROAUTO,Talbros Automotive Components Limited,50512
1148,RUBYMILLS.NS,RUBYMILLS,The Ruby Mills Limited,50511
1149,OSWALSEEDS.NS,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,49508
1150,DPWIRES.NS,DPWIRES,D P Wires Limited,49313
1151,SMSPHARMA.NS,SMSPHARMA,SMS Pharmaceuticals Limited,49310
1152,DHARMAJ.NS,DHARMAJ,Dharmaj Crop Guard Limited,48938
1153,RBL.NS,RBL,Rane Brake Lining Limited,48745
1154,GOYALALUM.NS,GOYALALUM,Goyal Aluminiums Limited,48700
1155,NRL.NS,NRL,Nupur Recyclers Limited,48208
1156,MIRZAINT.NS,MIRZAINT,Mirza International Limited,48163
1157,VIKASLIFE.NS,VIKASLIFE,Vikas Lifecare Limited,48105
1158,WINDLAS.NS,WINDLAS,Windlas Biotech Limited,47559
1159,HITECHGEAR.NS,HITECHGEAR,The Hi-Tech Gears Limited,47408
1160,SHREEPUSHK.NS,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,46870
1161,SPENCERS.NS,SPENCERS,Spencer's Retail Limited,46692
1162,KANORICHEM.NS,KANORICHEM,Kanoria Chemicals & Industries Limited,46555
1163,JPOLYINVST.NS,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,46505
1164,ASAL.NS,ASAL,Automotive Stampings and Assemblies Limited,46499
1165,SILVERTUC.NS,SILVERTUC,Silver Touch Technologies Limited,46343
1166,3IINFOLTD.NS,3IINFOLTD,3i Infotech Limited,46244
1167,MALLCOM.NS,MALLCOM,Mallcom (India) Limited,45795
1168,CREST.NS,CREST,Crest Ventures Limited,45378
1169,REPRO.NS,REPRO,Repro India Limited,45370
1170,MARINE.NS,MARINE,Marine Electricals (India) Limited,45284
1171,KECL.NS,KECL,Kirloskar Electric Company Limited,45261
1172,DENORA.NS,DENORA,De Nora India Limited,45211
1173,EXXARO.NS,EXXARO,Exxaro Tiles Limited,45121
1174,MAGADSUGAR.NS,MAGADSUGAR,Magadh Sugar & Energy Limited,44980
1175,ASIANTILES.NS,ASIANTILES,Asian Granito India Limited,44424
